timestamp,__uom,__icon,__color,mnemonic,value,_1,severity,title,sev_alarm,mne_alarm
2020-01-21T13:33:30.000+0000,ppm,check,#adadad,BP_GAS_C4_ISO,3.21,1.0,,Iso-Butane ,,BP_GAS_C4_ISO
2020-01-21T13:33:30.000+0000,,check,#adadad,BP_H2S1_RIG,,1.0,,H2S ,,BP_H2S1_RIG
2020-01-21T13:33:30.000+0000,,check,#adadad,BP_LEL1_RIG,,1.0,,LEL ,,BP_LEL1_RIG
2020-01-21T13:33:30.000+0000,ppm,check,#adadad,BP_GAS_C5_ISO,25.44,1.0,,Iso-Pentane ,,BP_GAS_C5_ISO
2020-01-21T13:33:30.000+0000,m,check,#adadad,BP_LAGDEPTH,2924.1,1.0,,LagDepth,,BP_LAGDEPTH
2020-01-21T13:33:30.000+0000,s,check,#adadad,BP_LAGTIME,6888.0,1.0,,LagTime,,BP_LAGTIME
2020-01-21T13:33:30.000+0000,unitless,check,#adadad,BP_PMP_STK_COUNT,659519.45,1.0,,Total Strokes Since Reset - Mud Pumps,,BP_PMP_STK_COUNT
2020-01-21T13:33:30.000+0000,,check,#adadad,BP_PMP_STK_LAG,,1.0,,,,BP_PMP_STK_LAG
2020-01-21T13:33:35.000+0000,%,check,#adadad,BP_GAS_AVG,1.4,1.0,,Total Gas,,BP_GAS_AVG
2020-01-21T13:33:35.000+0000,ppm,check,#adadad,BP_GAS_C1,9638.4,1.0,,Methane ,,BP_GAS_C1
2020-01-21T13:33:35.000+0000,ppm,check,#adadad,BP_GAS_C2,69.74,1.0,,Ethane ,,BP_GAS_C2
2020-01-21T13:33:35.000+0000,ppm,check,#adadad,BP_GAS_C3,7.77,1.0,,Propane ,,BP_GAS_C3
2020-01-21T13:33:35.000+0000,ppm,check,#adadad,BP_GAS_C4_ISO,3.21,1.0,,Iso-Butane ,,BP_GAS_C4_ISO
2020-01-21T13:33:35.000+0000,,check,#adadad,BP_H2S1_RIG,,1.0,,H2S ,,BP_H2S1_RIG
2020-01-21T13:33:35.000+0000,,check,#adadad,BP_LEL1_RIG,,1.0,,LEL ,,BP_LEL1_RIG
2020-01-21T13:33:35.000+0000,ppm,check,#adadad,BP_GAS_C5_ISO,25.44,1.0,,Iso-Pentane ,,BP_GAS_C5_ISO
2020-01-21T13:33:35.000+0000,m,check,#adadad,BP_LAGDEPTH,2924.14,1.0,,LagDepth,,BP_LAGDEPTH
2020-01-21T13:33:35.000+0000,s,check,#adadad,BP_LAGTIME,6890.4,1.0,,LagTime,,BP_LAGTIME
2020-01-21T13:33:35.000+0000,unitless,check,#adadad,BP_PMP_STK_COUNT,659535.23,1.0,,Total Strokes Since Reset - Mud Pumps,,BP_PMP_STK_COUNT
2020-01-21T13:33:35.000+0000,,check,#adadad,BP_PMP_STK_LAG,,1.0,,,,BP_PMP_STK_LAG
2020-01-21T13:33:40.000+0000,%,check,#adadad,BP_GAS_AVG,1.41,1.0,,Total Gas,,BP_GAS_AVG
2020-01-21T13:33:40.000+0000,ppm,check,#adadad,BP_GAS_C1,9638.4,1.0,,Methane ,,BP_GAS_C1
2020-01-21T13:33:40.000+0000,ppm,check,#adadad,BP_GAS_C2,69.74,1.0,,Ethane ,,BP_GAS_C2
2020-01-21T13:33:40.000+0000,ppm,check,#adadad,BP_GAS_C3,7.77,1.0,,Propane ,,BP_GAS_C3
2020-01-21T13:33:40.000+0000,ppm,check,#adadad,BP_GAS_C4_ISO,3.21,1.0,,Iso-Butane ,,BP_GAS_C4_ISO
2020-01-21T13:33:40.000+0000,,check,#adadad,BP_H2S1_RIG,,1.0,,H2S ,,BP_H2S1_RIG
2020-01-21T13:33:40.000+0000,,check,#adadad,BP_LEL1_RIG,,1.0,,LEL ,,BP_LEL1_RIG
2020-01-21T13:33:40.000+0000,ppm,check,#adadad,BP_GAS_C5_ISO,25.44,1.0,,Iso-Pentane ,,BP_GAS_C5_ISO
2020-01-21T13:33:40.000+0000,m,check,#adadad,BP_LAGDEPTH,2924.2,1.0,,LagDepth,,BP_LAGDEPTH
2020-01-21T13:33:40.000+0000,s,check,#adadad,BP_LAGTIME,6880.2,1.0,,LagTime,,BP_LAGTIME
2020-01-21T13:33:40.000+0000,unitless,check,#adadad,BP_PMP_STK_COUNT,659551.02,1.0,,Total Strokes Since Reset - Mud Pumps,,BP_PMP_STK_COUNT
2020-01-21T13:33:40.000+0000,,check,#adadad,BP_PMP_STK_LAG,,1.0,,,,BP_PMP_STK_LAG
2020-01-21T13:33:45.000+0000,%,check,#adadad,BP_GAS_AVG,1.44,1.0,,Total Gas,,BP_GAS_AVG
2020-01-21T13:33:45.000+0000,ppm,check,#adadad,BP_GAS_C1,9638.4,1.0,,Methane ,,BP_GAS_C1
2020-01-21T13:33:45.000+0000,ppm,check,#adadad,BP_GAS_C2,69.74,1.0,,Ethane ,,BP_GAS_C2
2020-01-21T13:33:45.000+0000,ppm,check,#adadad,BP_GAS_C3,7.77,1.0,,Propane ,,BP_GAS_C3
2020-01-21T13:33:45.000+0000,ppm,check,#adadad,BP_GAS_C4_ISO,3.21,1.0,,Iso-Butane ,,BP_GAS_C4_ISO
2020-01-21T13:33:45.000+0000,,check,#adadad,BP_H2S1_RIG,,1.0,,H2S ,,BP_H2S1_RIG
2020-01-21T13:33:45.000+0000,,check,#adadad,BP_LEL1_RIG,,1.0,,LEL ,,BP_LEL1_RIG
2020-01-21T13:33:45.000+0000,ppm,check,#adadad,BP_GAS_C5_ISO,25.44,1.0,,Iso-Pentane ,,BP_GAS_C5_ISO
2020-01-21T13:33:45.000+0000,m,check,#adadad,BP_LAGDEPTH,2924.29,1.0,,LagDepth,,BP_LAGDEPTH
2020-01-21T13:33:45.000+0000,s,check,#adadad,BP_LAGTIME,6898.2,1.0,,LagTime,,BP_LAGTIME
2020-01-21T13:33:45.000+0000,unitless,check,#adadad,BP_PMP_STK_COUNT,659582.51,1.0,,Total Strokes Since Reset - Mud Pumps,,BP_PMP_STK_COUNT
2020-01-21T13:33:45.000+0000,,check,#adadad,BP_PMP_STK_LAG,,1.0,,,,BP_PMP_STK_LAG
2020-01-21T13:33:50.000+0000,%,check,#adadad,BP_GAS_AVG,1.45,1.0,,Total Gas,,BP_GAS_AVG
2020-01-21T13:33:50.000+0000,ppm,check,#adadad,BP_GAS_C1,9638.4,1.0,,Methane ,,BP_GAS_C1
2020-01-21T13:33:50.000+0000,ppm,check,#adadad,BP_GAS_C2,69.74,1.0,,Ethane ,,BP_GAS_C2
2020-01-21T13:33:50.000+0000,ppm,check,#adadad,BP_GAS_C3,7.77,1.0,,Propane ,,BP_GAS_C3
2020-01-21T13:33:50.000+0000,ppm,check,#adadad,BP_GAS_C4_ISO,3.21,1.0,,Iso-Butane ,,BP_GAS_C4_ISO
2020-01-21T13:33:50.000+0000,,check,#adadad,BP_H2S1_RIG,,1.0,,H2S ,,BP_H2S1_RIG
2020-01-21T13:33:50.000+0000,,check,#adadad,BP_LEL1_RIG,,1.0,,LEL ,,BP_LEL1_RIG
2020-01-21T13:33:50.000+0000,ppm,check,#adadad,BP_GAS_C5_ISO,25.44,1.0,,Iso-Pentane ,,BP_GAS_C5_ISO
2020-01-21T13:33:50.000+0000,m,check,#adadad,BP_LAGDEPTH,2924.29,1.0,,LagDepth,,BP_LAGDEPTH
2020-01-21T13:33:50.000+0000,s,check,#adadad,BP_LAGTIME,6898.8,1.0,,LagTime,,BP_LAGTIME
2020-01-21T13:33:50.000+0000,unitless,check,#adadad,BP_PMP_STK_COUNT,659598.23,1.0,,Total Strokes Since Reset - Mud Pumps,,BP_PMP_STK_COUNT
2020-01-21T13:33:50.000+0000,,check,#adadad,BP_PMP_STK_LAG,,1.0,,,,BP_PMP_STK_LAG
2020-01-21T13:33:55.000+0000,%,check,#adadad,BP_GAS_AVG,1.46,1.0,,Total Gas,,BP_GAS_AVG
2020-01-21T13:33:55.000+0000,ppm,check,#adadad,BP_GAS_C1,9638.4,1.0,,Methane ,,BP_GAS_C1
2020-01-21T13:33:55.000+0000,ppm,check,#adadad,BP_GAS_C2,69.74,1.0,,Ethane ,,BP_GAS_C2
2020-01-21T13:33:55.000+0000,ppm,check,#adadad,BP_GAS_C3,7.77,1.0,,Propane ,,BP_GAS_C3
2020-01-21T13:33:55.000+0000,ppm,check,#adadad,BP_GAS_C4_ISO,3.21,1.0,,Iso-Butane ,,BP_GAS_C4_ISO
2020-01-21T13:33:55.000+0000,,check,#adadad,BP_H2S1_RIG,,1.0,,H2S ,,BP_H2S1_RIG
2020-01-21T13:33:55.000+0000,,check,#adadad,BP_LEL1_RIG,,1.0,,LEL ,,BP_LEL1_RIG
2020-01-21T13:33:55.000+0000,ppm,check,#adadad,BP_GAS_C5_ISO,25.44,1.0,,Iso-Pentane ,,BP_GAS_C5_ISO
2020-01-21T13:33:55.000+0000,m,check,#adadad,BP_LAGDEPTH,2924.32,1.0,,LagDepth,,BP_LAGDEPTH
2020-01-21T13:33:55.000+0000,s,check,#adadad,BP_LAGTIME,6892.2,1.0,,LagTime,,BP_LAGTIME
2020-01-21T13:33:55.000+0000,unitless,check,#adadad,BP_PMP_STK_COUNT,659621.88,1.0,,Total Strokes Since Reset - Mud Pumps,,BP_PMP_STK_COUNT
2020-01-21T13:33:55.000+0000,,check,#adadad,BP_PMP_STK_LAG,,1.0,,,,BP_PMP_STK_LAG
2020-01-21T13:34:00.000+0000,%,check,#adadad,BP_GAS_AVG,1.47,1.0,,Total Gas,,BP_GAS_AVG
2020-01-21T13:34:00.000+0000,ppm,check,#adadad,BP_GAS_C1,9638.4,1.0,,Methane ,,BP_GAS_C1
2020-01-21T13:34:00.000+0000,ppm,check,#adadad,BP_GAS_C2,69.74,1.0,,Ethane ,,BP_GAS_C2
2020-01-21T13:34:00.000+0000,ppm,check,#adadad,BP_GAS_C3,7.77,1.0,,Propane ,,BP_GAS_C3
2020-01-21T13:34:00.000+0000,ppm,check,#adadad,BP_GAS_C4_ISO,3.21,1.0,,Iso-Butane ,,BP_GAS_C4_ISO
2020-01-21T13:34:00.000+0000,,check,#adadad,BP_H2S1_RIG,,1.0,,H2S ,,BP_H2S1_RIG
2020-01-21T13:34:00.000+0000,,check,#adadad,BP_LEL1_RIG,,1.0,,LEL ,,BP_LEL1_RIG
2020-01-21T13:34:00.000+0000,ppm,check,#adadad,BP_GAS_C5_ISO,25.44,1.0,,Iso-Pentane ,,BP_GAS_C5_ISO
2020-01-21T13:34:00.000+0000,m,check,#adadad,BP_LAGDEPTH,2924.41,1.0,,LagDepth,,BP_LAGDEPTH
2020-01-21T13:34:00.000+0000,s,check,#adadad,BP_LAGTIME,6898.2,1.0,,LagTime,,BP_LAGTIME
2020-01-21T13:34:00.000+0000,unitless,check,#adadad,BP_PMP_STK_COUNT,659637.65,1.0,,Total Strokes Since Reset - Mud Pumps,,BP_PMP_STK_COUNT
2020-01-21T13:34:00.000+0000,,check,#adadad,BP_PMP_STK_LAG,,1.0,,,,BP_PMP_STK_LAG
2020-01-21T13:34:05.000+0000,%,check,#adadad,BP_GAS_AVG,1.48,1.0,,Total Gas,,BP_GAS_AVG
2020-01-21T13:34:05.000+0000,ppm,check,#adadad,BP_GAS_C1,9638.4,1.0,,Methane ,,BP_GAS_C1
2020-01-21T13:34:05.000+0000,ppm,check,#adadad,BP_GAS_C2,69.74,1.0,,Ethane ,,BP_GAS_C2
